,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01012878,379,379,-,-,379,373,-,6,92,186,28,73,-,-,-
S01012879,327,327,-,-,327,323,1,3,13,135,55,121,3,-,-
S01012880,381,381,-,-,381,374,-,7,40,204,52,80,5,-,-
S01012881,413,413,-,-,413,406,2,5,62,127,60,163,1,-,-
S01012882,290,290,-,-,290,287,-,3,7,81,19,178,5,-,-
S01012883,382,382,-,-,382,378,-,4,15,53,34,279,1,-,-
S01012884,292,292,-,-,292,285,-,7,15,59,17,180,21,-,-
S01012885,270,270,-,-,270,270,-,-,3,6,64,197,-,-,-
S01012886,318,318,-,-,318,315,1,2,54,169,52,25,17,1,-
S01012887,360,360,-,-,360,352,1,7,95,82,55,127,1,-,-
S01012888,335,335,-,-,335,333,-,2,87,176,28,23,21,-,-
S01012889,354,354,-,-,354,342,-,12,192,49,85,28,-,-,-
S01012890,315,315,-,-,315,300,1,14,38,55,127,89,6,-,-
S01012891,261,261,-,-,261,255,-,6,22,54,133,52,-,-,-
S01012892,573,572,1,-,574,566,3,5,9,76,242,247,-,-,-
S01012893,375,375,-,-,375,369,-,6,5,32,95,242,-,-,1
S01012894,316,316,-,-,316,311,-,5,137,94,37,44,4,-,-
S01012895,199,199,-,-,199,197,-,2,111,49,15,16,7,1,-
S01012896,490,490,-,-,490,482,2,6,2,11,119,356,1,1,-
S01012897,251,251,-,-,251,248,-,3,73,139,33,6,-,-,-
S01012898,179,179,-,-,179,177,-,2,161,11,5,2,-,-,-
S01012899,319,319,-,-,319,317,-,2,2,2,64,251,-,-,-
S01012900,236,236,-,-,236,226,-,10,103,44,59,27,2,1,-
S01012901,347,347,-,-,347,336,1,10,3,8,187,147,-,2,-
S01012902,362,362,-,-,362,359,-,3,13,30,172,146,1,-,-
S01012903,410,410,-,-,410,400,-,10,3,9,220,178,-,-,-
S01012904,384,384,-,-,384,371,-,13,6,9,194,174,-,1,-
S01012905,277,277,-,-,277,272,-,5,5,32,160,80,-,-,-
S01012906,489,489,-,-,489,482,-,7,19,31,213,226,-,-,-
S01012907,464,464,-,-,464,449,-,15,5,52,232,174,1,-,-
S01012908,363,363,-,-,363,355,-,8,2,19,189,153,-,-,-
S01012909,337,337,-,-,337,331,3,3,6,39,160,132,-,-,-
S01012910,490,490,-,-,490,485,-,5,5,23,157,304,1,-,-
S01012911,348,348,-,-,348,340,-,8,23,76,140,108,-,1,-
S01012912,350,350,-,-,350,339,-,11,3,46,155,138,2,6,-
S01012913,425,425,-,-,425,417,-,8,8,72,191,153,1,-,-
S01012914,412,412,-,-,412,410,1,1,21,50,156,184,1,-,-
S01012915,449,449,-,-,449,447,-,2,110,109,59,167,4,-,-
S01012916,337,337,-,-,337,331,-,6,21,40,133,142,1,-,-
S01012917,272,272,-,-,272,270,-,2,40,38,184,9,-,1,-
S01012918,262,262,-,-,262,255,-,7,-,2,113,147,-,-,-
S01012919,232,232,-,-,232,229,-,3,4,5,152,71,-,-,-
S01012920,258,258,-,-,258,258,-,-,91,61,33,73,-,-,-
S01012921,344,344,-,-,344,338,1,5,4,14,180,145,1,-,-
S01012922,447,447,-,-,447,437,-,10,39,54,218,136,-,-,-
S01012923,311,311,-,-,311,306,-,5,6,7,196,102,-,-,-
S01012924,252,252,-,-,252,243,-,9,3,5,141,103,-,-,-
S01012925,200,200,-,-,200,194,1,5,52,66,32,50,-,-,-
S01012926,339,339,-,-,339,333,-,6,22,20,142,155,-,-,-
S01012927,340,340,-,-,340,339,-,1,5,8,214,113,-,-,-
S01012928,405,405,-,-,405,353,-,52,70,13,154,167,1,-,-
S01012929,343,343,-,-,343,340,-,3,29,25,200,89,-,-,-
S01012930,527,527,-,-,527,512,2,13,25,88,44,359,6,5,-
S01012931,440,440,-,-,440,435,1,4,28,79,95,234,4,-,-
S01012932,217,217,-,-,217,211,-,6,67,63,44,43,-,-,-
S01012933,359,359,-,-,359,352,1,6,35,164,94,66,-,-,-
S01012934,371,371,-,-,371,360,-,11,28,121,39,181,-,1,1
S01012935,372,372,-,-,372,363,-,9,16,119,192,43,1,-,1
S01012936,362,362,-,-,362,351,-,11,37,38,66,221,-,-,-
S01012937,318,318,-,-,318,314,-,4,43,25,105,144,-,-,1
S01012938,310,310,-,-,310,307,-,3,189,61,12,47,1,-,-
S01012939,218,218,-,-,218,216,-,2,166,44,4,4,-,-,-
S01012940,271,271,-,-,271,268,2,1,138,76,6,51,-,-,-
S01012941,259,259,-,-,259,257,-,2,231,20,3,5,-,-,-
S01012942,371,371,-,-,371,364,-,7,4,24,197,145,-,-,1
S01012943,295,295,-,-,295,291,-,4,96,85,84,30,-,-,-
S01012944,209,209,-,-,209,207,-,2,131,73,2,3,-,-,-
S01012945,242,242,-,-,242,241,-,1,194,30,5,12,-,1,-
S01012946,341,341,-,-,341,338,1,2,162,88,11,79,1,-,-
S01012947,152,152,-,-,152,151,-,1,143,4,3,2,-,-,-
S01012948,250,250,-,-,250,249,-,1,95,146,6,3,-,-,-
S01012949,283,283,-,-,283,282,-,1,122,78,55,25,3,-,-
S01012950,278,278,-,-,278,273,-,5,238,18,9,12,1,-,-
S01012951,307,307,-,-,307,294,2,11,251,19,12,23,2,-,-
S01012952,265,265,-,-,265,247,10,8,183,15,2,61,3,1,-
S01012953,296,296,-,-,296,292,-,4,72,134,47,42,-,1,-
S01012954,177,177,-,-,177,173,1,3,21,134,14,8,-,-,-
S01012955,368,368,-,-,368,356,1,11,163,59,22,124,-,-,-
S01012956,463,463,-,-,463,458,-,5,83,32,181,143,8,16,-
S01012957,311,311,-,-,311,304,-,7,19,49,147,95,-,1,-
S01012958,208,208,-,-,208,206,-,2,21,91,90,6,-,-,-
S01012959,229,229,-,-,229,228,-,1,60,82,61,26,-,-,-
S01012960,230,230,-,-,230,229,-,1,82,107,34,4,1,2,-
S01012961,202,202,-,-,202,200,-,2,75,89,28,9,1,-,-
S01012962,239,239,-,-,239,236,-,3,125,58,37,18,1,-,-
S01012963,278,278,-,-,278,275,2,1,243,22,12,1,-,-,-
S01012964,210,210,-,-,210,200,10,-,180,17,10,3,-,-,-
S01012965,240,240,-,-,240,229,-,11,113,59,9,59,-,-,-
S01012966,268,268,-,-,268,262,-,6,62,49,139,18,-,-,-
S01012967,190,190,-,-,190,183,4,3,10,17,159,4,-,-,-
S01012968,277,277,-,-,277,271,5,1,4,15,186,72,-,-,-
S01012969,316,316,-,-,316,306,7,3,13,41,212,49,-,1,-
S01012970,256,256,-,-,256,236,10,10,5,58,185,7,-,-,1
S01012971,303,303,-,-,303,299,2,2,15,58,190,40,-,-,-
S01012972,336,336,-,-,336,329,-,7,15,47,208,66,-,-,-
S01012973,342,342,-,-,342,335,1,6,22,9,256,52,3,-,-
S01012974,453,453,-,-,453,446,-,7,7,29,264,143,1,9,-
S01012975,273,273,-,-,273,266,1,6,11,13,177,70,2,-,-
S01012976,239,239,-,-,239,229,6,4,6,11,171,50,1,-,-
S01012977,292,292,-,-,292,287,2,3,3,16,199,72,1,-,1
S01012978,341,341,-,-,341,334,1,6,10,18,236,77,-,-,-
S01012979,238,238,-,-,238,224,8,6,52,11,169,6,-,-,-
S01012980,315,315,-,-,315,311,-,4,3,9,127,156,19,1,-
S01012981,357,357,-,-,357,347,-,10,13,34,137,170,1,1,1
S01012982,389,389,-,-,389,383,-,6,4,16,191,178,-,-,-
S01012983,335,335,-,-,335,326,-,9,57,25,188,65,-,-,-
S01012984,282,282,-,-,282,279,-,3,9,23,162,88,-,-,-
S01012985,332,332,-,-,332,330,-,2,10,12,267,43,-,-,-
S01012986,401,401,-,-,401,394,-,7,18,18,152,213,-,-,-
S01012987,361,361,-,-,361,356,1,4,9,79,165,108,-,-,-
S01012988,475,475,-,-,475,463,-,12,10,34,198,228,3,2,-
S01012989,417,417,-,-,417,409,-,8,12,40,227,138,-,-,-
S01012990,304,304,-,-,304,303,-,1,2,47,138,115,2,-,-
S01012991,359,359,-,-,359,351,-,8,9,52,199,99,-,-,-
S01012992,382,382,-,-,382,380,-,2,7,66,171,137,1,-,-
S01012993,392,392,-,-,392,376,-,16,5,41,131,214,1,-,-
S01012994,508,508,-,-,508,502,-,6,10,66,67,365,-,-,-
S01012995,337,337,-,-,337,331,4,2,41,124,162,10,-,-,-
S01012996,248,248,-,-,248,246,-,2,8,53,143,44,-,-,-
S01012997,212,212,-,-,212,210,-,2,8,20,149,33,2,-,-
S01012998,423,423,-,-,423,414,-,9,90,51,181,101,-,-,-
S01012999,226,226,-,-,226,220,-,6,8,16,106,96,-,-,-
S01013000,345,345,-,-,345,322,-,23,7,22,194,117,5,-,-
S01013001,183,183,-,-,183,156,22,5,120,30,13,11,8,1,-
S01013002,217,217,-,-,217,205,3,9,135,38,14,17,12,-,1
S01013003,255,255,-,-,255,246,5,4,240,6,2,7,-,-,-
S01013004,273,273,-,-,273,264,6,3,159,69,33,8,4,-,-
S01013005,323,323,-,-,323,300,7,16,231,51,14,9,15,2,1
S01013006,247,247,-,-,247,240,-,7,161,42,21,3,18,2,-
S01013007,413,413,-,-,413,397,2,14,174,88,26,123,1,1,-
S01013008,339,339,-,-,339,330,-,9,134,49,103,50,3,-,-
S01013009,295,295,-,-,295,293,-,2,122,103,48,21,-,1,-
S01013010,276,276,-,-,276,246,22,8,174,52,27,15,3,4,1
S01013011,265,265,-,-,265,261,-,4,142,54,41,24,4,-,-
S01013012,307,307,-,-,307,292,9,6,63,71,62,92,17,2,-
S01013013,310,310,-,-,310,297,5,8,169,94,24,19,1,2,1
S01013014,347,347,-,-,347,336,2,9,168,77,49,44,6,3,-
S01013015,332,332,-,-,332,309,8,15,220,69,9,15,2,1,16
S01013016,259,259,-,-,259,244,6,9,194,36,15,9,3,2,-
S01013017,368,368,-,-,368,359,1,8,142,120,46,53,5,2,-
S01013018,393,393,-,-,393,387,4,2,244,89,41,9,10,-,-
S01013019,378,378,-,-,378,355,13,10,190,27,54,93,14,-,-
S01013020,231,231,-,-,231,226,1,4,22,67,104,32,4,2,-
S01013021,194,194,-,-,194,187,2,5,9,87,94,3,1,-,-
S01013022,189,189,-,-,189,186,1,2,40,45,33,64,7,-,-
S01013023,343,343,-,-,343,337,1,5,261,53,4,20,5,-,-
S01013024,234,234,-,-,234,227,2,5,94,86,23,25,6,-,-
S01013025,217,217,-,-,217,211,3,3,148,45,16,5,-,-,3
S01013026,415,415,-,-,415,410,-,5,131,113,79,90,1,1,-
S01013027,427,427,-,-,427,422,-,5,26,196,159,39,1,6,-
S01013028,194,194,-,-,194,191,-,3,86,42,58,4,2,-,2
S01013029,274,274,-,-,274,269,-,5,18,65,163,27,1,-,-
S01013030,226,226,-,-,226,225,1,-,22,121,76,3,-,4,-
S01013031,292,292,-,-,292,291,-,1,15,86,151,39,1,-,-
S01013032,312,312,-,-,312,309,-,3,154,100,35,21,1,1,-
S01013033,282,282,-,-,282,276,-,6,49,153,23,54,1,2,-
S01013034,301,301,-,-,301,296,2,3,8,166,113,14,-,-,-
S01013035,307,307,-,-,307,300,2,5,13,82,177,35,-,-,-
S01013036,282,282,-,-,282,280,-,2,10,159,103,10,-,-,-
S01013037,286,286,-,-,286,283,-,3,121,109,29,27,-,-,-
S01013038,436,436,-,-,436,434,-,2,49,78,145,159,3,2,-
S01013039,179,179,-,-,179,178,-,1,162,6,4,5,1,-,1
S01013040,332,332,-,-,332,324,1,7,36,92,67,111,12,14,-
S01013041,263,263,-,-,263,257,-,6,45,60,103,42,10,3,-
S01013042,320,320,-,-,320,318,-,2,88,88,114,27,1,2,-
S01013043,285,285,-,-,285,278,-,7,12,108,157,7,1,-,-
S01013044,326,326,-,-,326,323,1,2,25,140,154,6,1,-,-
S01013045,279,279,-,-,279,277,1,1,88,89,77,23,-,2,-
S01013046,215,215,-,-,215,214,-,1,5,83,113,11,3,-,-
S01013047,354,354,-,-,354,350,-,4,129,169,44,11,-,1,-
S01013048,412,412,-,-,412,401,2,9,66,187,15,139,5,-,-
S01013049,360,360,-,-,360,354,-,6,130,125,23,81,-,1,-
S01013050,354,354,-,-,354,351,-,3,36,123,75,117,3,-,-
S01013051,430,430,-,-,430,422,-,8,34,119,160,115,2,-,-
S01013052,398,398,-,-,398,391,1,6,23,139,134,92,10,-,-
S01013053,351,351,-,-,351,337,2,12,12,50,34,240,12,3,-
S01013054,308,308,-,-,308,305,-,3,65,146,61,35,1,-,-
S01013055,345,345,-,-,345,336,1,8,34,112,87,103,5,4,-
S01013056,436,436,-,-,436,431,-,5,33,176,143,82,2,-,-
S01013057,379,379,-,-,379,369,1,9,24,87,125,142,-,-,1
S01013058,219,219,-,-,219,213,-,6,111,71,18,18,1,-,-
S01013059,414,414,-,-,414,406,2,6,130,93,20,157,11,3,-
S01013060,235,235,-,-,235,227,2,6,61,81,9,63,21,-,-
S01013061,365,365,-,-,365,362,-,3,206,129,-,18,12,-,-
S01013062,415,415,-,-,415,403,2,10,80,89,10,156,79,1,-
S01013063,374,373,-,1,378,371,1,6,50,117,14,103,94,-,-
S01013064,390,390,-,-,390,386,-,4,13,126,215,35,1,-,-
S01013065,420,420,-,-,420,415,-,5,11,96,103,209,1,-,-
S01013066,355,355,-,-,355,347,-,8,30,113,80,101,22,2,7
S01013067,410,410,-,-,410,396,1,13,2,7,9,327,12,53,-
S01013068,433,433,-,-,433,406,1,26,13,18,16,364,15,7,-
S01013069,362,362,-,-,362,350,1,11,11,20,28,224,58,16,5
S01013070,311,311,-,-,311,301,-,10,10,30,22,232,12,5,-
S01013071,366,366,-,-,366,359,2,5,3,8,7,318,22,8,-
S01013072,229,229,-,-,229,227,-,2,10,101,35,81,1,1,-
S01013073,358,358,-,-,358,352,-,6,27,59,28,234,3,4,3
S01013074,318,318,-,-,318,302,-,16,13,59,17,224,2,3,-
S01013075,495,495,-,-,495,481,2,12,15,71,49,357,3,-,-
S01013076,178,178,-,-,178,172,5,1,66,30,35,44,2,1,-
S01013077,306,306,-,-,306,297,9,-,12,68,138,86,1,1,-
S01013078,254,254,-,-,254,252,-,2,16,40,88,109,1,-,-
S01013079,390,390,-,-,390,376,-,14,250,47,35,58,-,-,-
S01013080,378,378,-,-,378,374,1,3,113,101,60,89,12,3,-
S01013081,281,281,-,-,281,280,-,1,144,112,7,16,1,1,-
S01013082,401,401,-,-,401,395,-,6,221,162,10,6,2,-,-
S01013083,191,191,-,-,191,187,1,3,105,64,10,9,2,-,1
S01013084,313,313,-,-,313,307,-,6,180,127,1,3,2,-,-
S01013085,260,260,-,-,260,259,-,1,12,113,78,48,9,-,-
S01013086,471,470,-,1,476,448,2,26,69,64,30,177,123,13,-
S01013087,339,339,-,-,339,327,2,10,145,57,11,51,75,-,-
S01013088,404,404,-,-,404,388,1,15,283,33,19,34,34,1,-
S01013089,369,369,-,-,369,359,-,10,49,94,42,178,6,-,-
S01013090,362,362,-,-,362,349,1,12,12,40,75,206,15,2,12
S01013091,270,270,-,-,270,254,4,12,1,7,15,232,7,8,-
S01013092,450,450,-,-,450,440,2,8,11,137,52,244,5,1,-
S01013093,232,232,-,-,232,223,2,7,136,36,38,8,9,-,5
S01013094,233,233,-,-,233,230,-,3,187,39,7,-,-,-,-
S01013095,285,285,-,-,285,282,-,3,260,11,5,3,6,-,-
S01013096,218,218,-,-,218,213,1,4,8,70,105,24,6,5,-
S01013097,257,257,-,-,257,248,3,6,129,60,39,25,1,2,1
S01013098,191,191,-,-,191,189,-,2,181,6,1,2,1,-,-
S01013099,466,466,-,-,466,439,3,24,110,80,76,151,22,27,-
S01013100,280,280,-,-,280,265,3,12,156,64,13,32,14,1,-
S01013101,511,511,-,-,511,502,-,9,47,102,152,209,1,-,-
S01013102,297,297,-,-,297,291,-,6,165,31,10,85,6,-,-
S01013103,296,296,-,-,296,289,2,5,254,32,8,2,-,-,-
S01013104,408,408,-,-,408,404,2,2,203,172,13,17,3,-,-
S01013105,396,396,-,-,396,387,3,6,185,83,6,116,6,-,-
S01013106,361,361,-,-,361,350,3,8,95,76,68,100,16,6,-
S01013107,286,286,-,-,286,275,1,10,241,28,6,5,5,1,-
S01013108,266,266,-,-,266,255,1,10,124,65,17,60,-,-,-
S01013109,440,440,-,-,440,412,5,23,239,134,55,4,7,1,-
S01013110,263,263,-,-,263,245,8,10,163,57,30,8,5,-,-
S01013111,209,209,-,-,209,192,12,5,104,60,30,9,3,1,2
S01013112,275,275,-,-,275,265,3,7,90,85,27,64,6,3,-
S01013113,375,375,-,-,375,372,-,3,82,173,102,14,4,-,-
S01013114,370,370,-,-,370,337,27,6,233,64,30,21,8,5,9
S01013115,346,346,-,-,346,320,8,18,51,56,37,160,16,26,-
S01013116,360,360,-,-,360,331,14,15,231,51,22,32,22,2,-
S01013117,281,281,-,-,281,271,7,3,52,95,43,78,7,6,-
S01013118,254,254,-,-,254,195,56,3,162,64,17,1,8,1,1
S01013119,457,457,-,-,457,337,109,11,304,84,40,17,2,1,9
S01013120,538,538,-,-,538,440,79,19,269,134,53,58,8,14,2
S01013121,179,179,-,-,179,146,21,12,86,48,32,8,2,3,-
S01013122,379,378,1,-,380,333,-,47,3,4,37,335,1,-,-
S01013123,425,425,-,-,425,414,-,11,8,10,89,313,1,3,1
S01013124,341,341,-,-,341,334,1,6,4,78,65,193,1,-,-
S01013125,385,385,-,-,385,374,1,10,9,82,116,176,2,-,-
S01013126,352,352,-,-,352,342,-,10,8,47,80,215,1,-,1
S01013127,386,386,-,-,386,378,-,8,3,37,102,242,2,-,-
S01013128,467,467,-,-,467,455,1,11,4,11,37,409,4,2,-
S01013129,542,542,-,-,542,533,1,8,7,34,162,330,3,5,1
S01013130,356,356,-,-,356,340,-,16,3,23,36,292,-,2,-
S01013131,320,320,-,-,320,316,-,4,2,88,28,201,1,-,-
S01013132,322,322,-,-,322,318,-,4,5,18,42,257,-,-,-
S01013133,492,492,-,-,492,441,-,51,5,32,66,387,2,-,-
S01013134,391,391,-,-,391,376,-,15,47,52,129,159,4,-,-
S01013135,420,420,-,-,420,391,-,29,5,46,22,341,4,2,-
S01013136,398,398,-,-,398,395,-,3,7,121,19,247,3,1,-
S01013137,308,308,-,-,308,307,-,1,4,173,26,105,-,-,-
S01013138,371,371,-,-,371,342,1,28,4,40,18,309,-,-,-
S01013139,422,422,-,-,422,409,-,13,17,75,80,250,-,-,-
S01013140,372,372,-,-,372,366,-,6,6,83,88,195,-,-,-
S01013141,333,333,-,-,333,330,-,3,4,35,59,224,8,3,-
S01013142,518,518,-,-,518,517,-,1,4,18,47,447,1,1,-
S01013143,431,431,-,-,431,419,-,12,7,60,81,280,3,-,-
S01013144,431,431,-,-,431,427,-,4,23,82,51,275,-,-,-
S01013145,341,341,-,-,341,336,1,4,7,106,10,218,-,-,-
S01013146,204,204,-,-,204,197,-,7,-,46,16,142,-,-,-
S01013147,313,313,-,-,313,307,-,6,58,79,80,94,1,-,1
S01013148,387,387,-,-,387,381,1,5,31,76,35,245,-,-,-
S01013149,431,431,-,-,431,418,2,11,10,54,67,293,2,5,-
S01013150,415,415,-,-,415,403,2,10,48,116,103,148,-,-,-
S01013151,273,273,-,-,273,261,1,11,68,48,28,126,-,3,-
S01013152,394,394,-,-,394,386,2,6,102,66,103,122,1,-,-
S01013153,409,409,-,-,409,398,-,11,5,67,106,230,1,-,-
S01013154,456,456,-,-,456,452,1,3,30,57,93,275,1,-,-
S01013155,408,408,-,-,408,399,-,9,6,14,19,368,1,-,-
S01013156,361,361,-,-,361,354,-,7,7,28,85,240,1,-,-
S01013157,433,433,-,-,433,430,-,3,8,49,96,279,1,-,-
S01013158,208,208,-,-,208,205,1,2,89,105,5,8,-,-,1
S01013159,302,302,-,-,302,297,1,4,66,131,71,34,-,-,-
S01013160,266,266,-,-,266,264,-,2,75,180,5,6,-,-,-
S01013161,509,509,-,-,509,488,-,21,21,62,103,319,3,1,-
S01013162,436,436,-,-,436,426,-,10,11,77,69,277,1,1,-
S01013163,256,256,-,-,256,253,-,3,62,128,39,27,-,-,-
S01013164,492,492,-,-,492,485,2,5,84,106,69,230,1,2,-
S01013165,421,421,-,-,421,412,1,8,38,132,89,151,11,-,-
S01013166,454,454,-,-,454,387,-,67,3,9,16,421,2,3,-
S01013167,421,421,-,-,421,383,1,37,3,19,19,375,5,-,-
S01013168,414,414,-,-,414,408,-,6,7,45,219,143,-,-,-
S01013169,447,447,-,-,447,436,-,11,5,84,60,295,2,1,-
S01013170,282,282,-,-,282,265,-,17,3,44,84,151,-,-,-
S01013171,265,265,-,-,265,249,1,15,87,81,37,60,-,-,-
S01013172,325,325,-,-,325,319,1,5,32,54,136,103,-,-,-
S01013173,366,366,-,-,366,358,-,8,54,90,58,164,-,-,-
S01013174,287,287,-,-,287,284,-,3,94,126,55,11,-,-,1
S01013175,349,348,1,-,350,343,1,6,89,113,88,59,-,-,1
S01013176,419,419,-,-,419,411,1,7,33,32,68,279,6,1,-
S01013177,301,301,-,-,301,290,2,9,18,98,39,146,-,-,-
S01013178,365,365,-,-,365,346,1,18,37,36,25,245,17,3,2
S01013179,374,374,-,-,374,363,3,8,103,99,66,103,2,1,-
S01013180,177,177,-,-,177,170,4,3,24,72,69,7,5,-,-
S01013181,319,319,-,-,319,310,1,8,11,78,178,51,1,-,-
S01013182,377,377,-,-,377,372,2,3,13,95,44,222,-,3,-
S01013183,340,340,-,-,340,334,3,3,114,135,32,59,-,-,-
S01013184,299,299,-,-,299,279,8,12,4,63,11,220,1,-,-
S01013185,367,367,-,-,367,362,1,4,10,139,39,179,-,-,-
S01013186,303,303,-,-,303,292,-,11,1,88,50,163,-,1,-
S01013187,396,396,-,-,396,386,2,8,34,70,95,195,1,1,-
S01013188,361,361,-,-,361,348,2,11,22,153,97,89,-,-,-
S01013189,241,241,-,-,241,238,2,1,31,125,60,24,1,-,-
S01013190,376,376,-,-,376,367,2,7,52,76,21,225,2,-,-
S01013191,389,389,-,-,389,386,1,2,108,144,94,41,1,1,-
S01013192,423,423,-,-,423,417,-,6,34,60,92,237,-,-,-
S01013193,386,386,-,-,386,356,1,29,23,47,25,290,1,-,-
S01013194,329,329,-,-,329,319,3,7,7,27,40,249,3,3,-
S01013195,625,624,1,-,626,597,1,28,40,25,9,532,3,16,1
S01013196,379,379,-,-,379,371,1,7,7,26,28,315,2,1,-
S01013197,269,269,-,-,269,262,1,6,57,61,57,79,15,-,-
S01013198,386,386,-,-,386,379,-,7,17,135,38,196,-,-,-
S01013199,503,503,-,-,503,488,5,10,80,32,45,331,14,1,-
S01013200,336,336,-,-,336,313,2,21,53,68,36,153,11,-,15
S01013201,395,395,-,-,395,380,-,15,11,60,61,261,-,-,2
S01013202,254,252,2,-,256,235,-,21,33,60,37,126,-,-,-
S01013203,384,383,1,-,385,355,-,30,19,47,174,144,1,-,-
S01013204,342,342,-,-,342,332,1,9,60,142,92,47,1,-,-
S01013205,266,265,1,-,267,240,-,27,4,102,94,62,-,5,-
S01013206,302,302,-,-,302,298,-,4,4,117,104,76,-,1,-
S01013207,399,399,-,-,399,390,3,6,54,62,56,218,8,-,1
S01013208,458,458,-,-,458,436,8,14,21,113,124,190,9,-,1
S01013209,446,446,-,-,446,435,4,7,18,50,31,338,9,-,-
S01013210,259,259,-,-,259,253,4,2,47,87,32,73,20,-,-
S01013211,422,422,-,-,422,411,6,5,54,94,84,184,5,1,-
S01013212,193,193,-,-,193,192,-,1,122,59,8,4,-,-,-
S01013213,200,200,-,-,200,197,-,3,101,55,38,6,-,-,-
S01013214,159,159,-,-,159,159,-,-,47,102,7,3,-,-,-
S01013215,389,389,-,-,389,385,2,2,26,124,71,157,10,1,-
S01013216,241,241,-,-,241,237,1,3,6,31,168,36,-,-,-
S01013217,279,279,-,-,279,279,-,-,11,48,188,32,-,-,-
S01013218,255,255,-,-,255,251,2,2,7,24,207,16,1,-,-
S01013219,225,225,-,-,225,220,-,5,2,15,198,10,-,-,-
S01013220,319,319,-,-,319,313,-,6,6,20,169,122,2,-,-
S01013221,389,389,-,-,389,382,1,6,27,83,212,63,4,-,-
S01013222,330,330,-,-,330,316,4,10,13,67,97,145,3,5,-
S01013223,663,662,-,1,667,637,13,17,43,67,65,435,40,17,-
S01013224,378,378,-,-,378,370,3,5,36,67,105,167,3,-,-
S01013225,320,320,-,-,320,315,5,-,52,114,59,95,-,-,-
S01013226,214,214,-,-,214,207,5,2,48,70,33,63,-,-,-
S01013227,384,384,-,-,384,366,1,17,29,91,75,185,3,1,-
S01013228,441,441,-,-,441,416,14,11,7,21,39,359,2,13,-
S01013229,373,373,-,-,373,370,-,3,7,65,177,121,3,-,-
S01013230,333,333,-,-,333,327,1,5,15,76,156,86,-,-,-
S01013231,380,380,-,-,380,374,-,6,7,79,122,171,-,1,-
S01013232,335,335,-,-,335,331,1,3,6,155,33,140,1,-,-
S01013233,271,271,-,-,271,262,-,9,14,119,53,80,2,3,-
S01013234,146,146,-,-,146,137,8,1,117,21,1,5,-,1,1
S01013235,399,399,-,-,399,386,2,11,40,54,169,127,4,4,1
S01013236,390,390,-,-,390,381,6,3,97,196,16,77,1,3,-
S01013237,380,380,-,-,380,360,1,19,72,72,100,129,6,1,-
S01013238,396,396,-,-,396,389,-,7,15,139,112,130,-,-,-
S01013239,436,436,-,-,436,425,7,4,15,223,103,87,6,2,-
S01013240,261,261,-,-,261,256,-,5,4,86,70,100,-,1,-
S01013241,344,344,-,-,344,336,5,3,98,202,33,10,1,-,-
S01013242,259,259,-,-,259,229,20,10,185,36,18,18,1,-,1
S01013243,332,332,-,-,332,325,-,7,69,47,129,84,1,2,-
S01013244,363,363,-,-,363,351,-,12,42,170,67,72,7,5,-
S01013245,418,418,-,-,418,407,-,11,160,77,122,57,2,-,-
S01013246,195,195,-,-,195,184,-,11,47,80,55,13,-,-,-
S01013247,354,354,-,-,354,338,-,16,31,76,47,200,-,-,-
S01013248,305,305,-,-,305,300,-,5,13,82,98,112,-,-,-
S01013249,204,204,-,-,204,201,-,3,45,76,74,9,-,-,-
S01013250,352,352,-,-,352,339,3,10,176,66,57,41,5,4,3
S01013251,327,327,-,-,327,319,1,7,31,41,81,173,1,-,-
S01013252,300,300,-,-,300,288,3,9,48,103,82,67,-,-,-
S01013253,322,322,-,-,322,316,-,6,61,109,103,48,-,1,-
S01013254,299,299,-,-,299,297,-,2,15,96,79,108,1,-,-
S01013255,358,358,-,-,358,345,3,10,99,142,74,12,3,1,27
S01013256,329,329,-,-,329,322,1,6,120,16,46,140,2,5,-
S01013257,442,442,-,-,442,419,1,22,73,47,98,189,13,22,-
S01013258,314,314,-,-,314,312,-,2,111,133,44,21,4,1,-
S01013259,365,365,-,-,365,361,-,4,37,51,148,128,1,-,-
S01013260,388,388,-,-,388,382,-,6,26,149,99,112,-,2,-
S01013261,358,358,-,-,358,345,-,13,18,88,224,26,-,2,-
S01013262,279,279,-,-,279,276,-,3,18,58,186,15,1,1,-
S01013263,197,197,-,-,197,195,1,1,136,27,16,17,-,1,-
S01013264,164,164,-,-,164,163,-,1,160,3,1,-,-,-,-
S01013265,202,202,-,-,202,201,-,1,196,5,1,-,-,-,-
S01013266,189,189,-,-,189,189,-,-,166,20,1,1,1,-,-
S01013267,238,238,-,-,238,237,-,1,12,122,93,11,-,-,-
S01013268,331,331,-,-,331,328,-,3,14,37,273,6,-,-,1
